original_asset_file_name,file_type,suggested_project_or_category,suggested_use,notes,selected_for_website,final_filename
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Ronnie Scott and bunch of Ronnies and Scotts.jpeg,jpeg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-london-feelings/ronnie-scott-and-bunch-of-ronnies-and-scotts.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Artist in Studio.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-women-from-everywhere/artist-in-studio.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Flour and Fire.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-women-from-everywhere/flour-and-fire.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Just After the Nap.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-women-from-everywhere/just-after-the-nap.jpg.,YES,
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/La Lune.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-women-from-everywhere/la-lune.jpg.,YES,
"Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Last Table, Trattoria Camille.JPG",jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-women-from-everywhere/last-table-trattoria-camille.jpg.,YES,
"Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/On the Line, Paris.JPG",jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-women-from-everywhere/on-the-line-paris.jpg.,YES,
"Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Reporting from the Line, Protest Weekend in April,  Paris.JPG",jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/film-women-from-everywhere/reporting-from-the-line-protest-weekend-in-april-paris.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /1_Still Life/01.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-still-life/01.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /1_Still Life/02.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-still-life/02.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /1_Still Life/03.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-still-life/03.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_1.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-collage/revolution-collage-1.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_2.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-collage/revolution-collage-2.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_3.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-collage/revolution-collage-3.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_4.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-collage/revolution-collage-4.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_5.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-collage/revolution-collage-5.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_6.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-collage/revolution-collage-6.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/3_Revolution_3_Collage/GROUP 50679.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-editorial/group-50679.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/3_Revolution_3_Collage/GROUP 50681.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-editorial/group-50681.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/3_Revolution_3_Collage/GROUP 50688.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-editorial/group-50688.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/Revolution_1_Single.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-editorial/revolution-1-single.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/Revolution_2_Single.jpg,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-editorial/revolution-2-single.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /Film Behind the Scenes/Film Portrait_bts_01.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-bts/film-portrait-bts-01.jpg.,YES,
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /Film Behind the Scenes/Film Portrait_bts_02.JPG,jpg,Photography / visual storytelling,gallery image,Copied as assets/projects/photography/fashion-papaya-bts/film-portrait-bts-02.jpg.,YES,
Project 02_Photography : Visual Storytelling/Home Page Background /Background_01.jpeg,jpeg,Photography / homepage candidates,homepage image,Copied as assets/homepage/background-01.jpg.,YES,
Project 02_Photography : Visual Storytelling/Home Page Background /Background_02.jpg,jpg,Photography / homepage candidates,homepage image,Exact duplicate of  Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/Between Courses.jpg; recorded but not copied again. The canonical copy lives in the photography collection.,NO,
Project 02_Photography : Visual Storytelling/Home Page Background /Background_03.JPG,jpg,Photography / homepage candidates,homepage image,Exact duplicate of  Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_4.JPG; recorded but not copied again. The canonical copy lives in the photography collection.,NO,
Project 02_Photography : Visual Storytelling/Home Page Background /Background_04.JPG,jpg,Photography / homepage candidates,homepage image,Exact duplicate of  Project 02_Photography : Visual Storytelling/3.Press Event/The Living table_2.JPG; recorded but not copied again. The canonical copy lives in the photography collection.,NO,
Project 02_Photography : Visual Storytelling/Home Page Background /Background_05.jpg,jpg,Photography / homepage candidates,homepage image,Exact duplicate of  Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/Revolution_1_Single.jpg; recorded but not copied again. The canonical copy lives in the photography collection.,NO,
Project 03 AI Customer Experience Research Research/Master Dissertation PDF/Empirical Dissertation.pdf,pdf,AI customer experience research / dissertation,archive,"Copied as archive/source-documents/research/ai-customer-experience-dissertation.pdf. Full 360-page source document; use selected extracts on the website, not the full file as a page image.",YES,
"Project 03 AI Customer Experience Research Research/Research Process/Ajzen’s Theory of Planned Behaviour (1991), 2025, Author’s Own.png",png,AI customer experience research / process,gallery image,Copied as assets/projects/research/process/ajzens-theory-of-planned-behaviour-1991-2025-authors-own.png.,YES,
"Project 03 AI Customer Experience Research Research/Research Process/Developed Thematic Map with Three Main Themes and Relevant Codes, 2025, Author's Own.png",png,AI customer experience research / process,gallery image,Copied as assets/projects/research/process/developed-thematic-map-with-three-main-themes-and-relevant-codes-2025-authors-own.png.,YES,
Project 03 AI Customer Experience Research Research/Research Process/MAP Academic Poster.pdf,pdf,AI customer experience research / poster,project cover,Copied as assets/projects/research/ai-cx-academic-poster.pdf.,YES,
"Project 03 AI Customer Experience Research Research/Research Process/Table, AI interventions mapped to the ADHD Gen Z Behavioural Gap.png",png,AI customer experience research / process,gallery image,Copied as assets/projects/research/process/table-ai-interventions-mapped-to-the-adhd-gen-z-behavioural-gap.png.,YES,
"Project 03 AI Customer Experience Research Research/Research Process/Table, Interview Instrument Design.png",png,AI customer experience research / process,gallery image,Copied as assets/projects/research/process/table-interview-instrument-design.png.,YES,
"Project 03 AI Customer Experience Research Research/Research Process/Technology Acceptance Model by Davis (1989), 2025, Author’s Own.png",png,AI customer experience research / process,gallery image,Copied as assets/projects/research/process/technology-acceptance-model-by-davis-1989-2025-authors-own.png.,YES,
About Audris/About Audris.JPG,jpg,About / personal profile,homepage image,Copied as assets/about/about-portrait-film.jpg.,NO,
About Audris/Carousel Image 8_About Audris.JPG,jpg,About / personal profile,homepage image,Copied as assets/about/about-portrait-editorial.jpg.,YES,
CV/Website Professional Resume.pdf,pdf,CV / professional profile,CV/document,Copied as assets/documents/audris-li-cv.pdf.,YES,
Homepage Carousel/Carousel Image 1 Sustainable Lifestyle Branding.png,png,Homepage / project index,homepage image,Exact duplicate of Project 01_ Sustainable Incense Brand/Branding & Logo/Soft Landing with white box incense Product.png; recorded but not copied again. The canonical project asset is preferred for a single source of truth.,NO,
Homepage Carousel/Carousel Image 2 Consumer Research & Customer Experience .pdf,pdf,Homepage / project index,homepage image,Exact duplicate of  Project 03 AI Customer Experience Research Research/Research Process/MAP Academic Poster.pdf; recorded but not copied again. The canonical project asset is preferred for a single source of truth.,NO,
Homepage Carousel/Carousel Image 4 Visual Storytelling.jpg,jpg,Homepage / project index,homepage image,Exact duplicate of  Project 02_Photography : Visual Storytelling/1. Jewellery Silver Smith Product/Silver Works for Layla/Between Courses.jpg; recorded but not copied again. The canonical project asset is preferred for a single source of truth.,NO,
Homepage Carousel/Carousel Image 5 Cross-Border E-Commerce Supplier Factory Visits.jpg,jpg,Homepage / project index,homepage image,Exact duplicate of Project 04 - Cross Border Ecommerce/a4c2eadbb338ce7da5b64596b3e7b668.jpg; recorded but not copied again. The canonical project asset is preferred for a single source of truth.,NO,
Homepage Carousel/Carousel Image 6 Project 05 - Marketing Retail Projects.JPG,jpg,Marketing and retail projects,project cover,Copied as assets/projects/marketing-retail/marketing-retail-cover.jpg.,NO,
Homepage Carousel/Carousel Image 8_About Audris.JPG,jpg,Homepage / project index,homepage image,Exact duplicate of About Audris/Carousel Image 8_About Audris.JPG; recorded but not copied again. The canonical project asset is preferred for a single source of truth.,NO,
Project 01_ Sustainable Incense Brand/ Packaging Photo.png,png,Cyta sustainable incense brand / product,project cover,Copied as assets/projects/cyta/product/packaging-photo.png.,YES,
Project 01_ Sustainable Incense Brand/Branding & Logo/CYTA 鳶 Logo lace transparent.png,png,Cyta sustainable incense brand / identity,project cover,Copied as assets/projects/cyta/identity/cyta-logo-lace-transparent.png.,YES,
Project 01_ Sustainable Incense Brand/Branding & Logo/Soft Landing Cloud Quilt.png,png,Cyta sustainable incense brand / identity,gallery image,Copied as assets/projects/cyta/identity/soft-landing-cloud-quilt.png.,NO,
Project 01_ Sustainable Incense Brand/Branding & Logo/Soft Landing with white box incense Product.png,png,Cyta sustainable incense brand / identity,gallery image,Copied as assets/projects/cyta/identity/soft-landing-with-white-box-incense-product.png.,NO,
Project 01_ Sustainable Incense Brand/Cold Grey Incense Product Picture.jpg,jpg,Cyta sustainable incense brand/product,gallery image,Copied as assets/projects/cyta/product/cold-grey-incense-product-picture.jpg.,YES,
Project 01_ Sustainable Incense Brand/Cyta Incense Sourcing Factory Visit/Incense Retail Store in progress.jpeg,jpeg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/sourcing/incense-retail-store-in-progress.jpg.,YES,
Project 01_ Sustainable Incense Brand/Cyta Incense Sourcing Factory Visit/Sourcing Visit 01.jpeg,jpeg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/sourcing/sourcing-visit-01.jpg.,YES,
Project 01_ Sustainable Incense Brand/Cyta Incense Sourcing Factory Visit/Sourcing Visit 02.jpeg,jpeg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/sourcing/sourcing-visit-02.jpg.,YES,
Project 01_ Sustainable Incense Brand/Incense workshop/DSC_1473.JPG,jpg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/workshop/dsc-1473.jpg.,YES,
Project 01_ Sustainable Incense Brand/Incense workshop/DSC_1481.JPG,jpg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/workshop/dsc-1481.jpg.,YES,
Project 01_ Sustainable Incense Brand/Incense workshop/DSC_1498.JPG,jpg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/workshop/dsc-1498.jpg.,YES,
Project 01_ Sustainable Incense Brand/Incense workshop/DSC_1517.JPG,jpg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/workshop/dsc-1517.jpg.,YES,
Project 01_ Sustainable Incense Brand/Incense workshop/DSC_1519.JPG,jpg,Cyta sustainable incense brand / process,gallery image,Copied as assets/projects/cyta/workshop/dsc-1519.jpg.,YES,
Project 01_ Sustainable Incense Brand/Inspirations/1DD29E1C-1CB5-4494-89AB-9B47C14E237F.png,png,Cyta sustainable incense brand / visual research,archive,Copied as design-references/cyta-inspiration/1dd29e1c-1cb5-4494-89ab-9b47c14e237f.png.,NO,
Project 01_ Sustainable Incense Brand/Inspirations/C8A525FA-AF7E-4FBC-8272-A027AD34F50C.png,png,Cyta sustainable incense brand / visual research,archive,Copied as design-references/cyta-inspiration/c8a525fa-af7e-4fbc-8272-a027ad34f50c.png.,NO,
Project 01_ Sustainable Incense Brand/Inspirations/Childhood Quilt.jpeg,jpeg,Cyta sustainable incense brand / visual research,archive,Copied as design-references/cyta-inspiration/childhood-quilt.jpg.,NO,
Project 01_ Sustainable Incense Brand/Inspirations/Chinese Caligraphy.jpeg,jpeg,Cyta sustainable incense brand / visual research,archive,Copied as design-references/cyta-inspiration/chinese-caligraphy.jpg.,NO,
Project 01_ Sustainable Incense Brand/Inspirations/IMG_5296.JPG,jpg,Cyta sustainable incense brand / visual research,archive,Copied as design-references/cyta-inspiration/img-5296.jpg.,NO,
Project 01_ Sustainable Incense Brand/Transparent Background.png,png,Cyta sustainable incense brand / product,gallery image,Copied as assets/projects/cyta/product/transparent-background.png.,YES,
Project 01_ Sustainable Incense Brand/Warm Yellow Light Incense Product Picture.jpg,jpg,Cyta sustainable incense brand / product,gallery image,Copied as assets/projects/cyta/product/warm-yellow-light-incense-product-picture.jpg.,YES,
Project 04 - Cross Border Ecommerce/39efa3ebb6042dae154bf97b249a556e.jpg,jpg,Cross-border e-commerce and operations,gallery image,Copied as assets/projects/cross-border/factory-digital-printing-process.jpg. Filename was unclear; visual review identified factory production or supplier-warehouse content.,YES,factory-production-process
Project 04 - Cross Border Ecommerce/a4c2eadbb338ce7da5b64596b3e7b668.jpg,jpg,Cross-border e-commerce and operations,project cover,Copied as assets/projects/cross-border/factory-embroidery-machinery.jpg. Filename was unclear; visual review identified factory production or supplier-warehouse content.,YES,supplier-warehouse-content
Project 04 - Cross Border Ecommerce/cd475602bb7ca24a8d45aae6f1b8b3dc.jpg,jpg,Cross-border e-commerce and operations,gallery image,Copied as assets/projects/cross-border/supplier-warehouse-visit.jpg. Filename was unclear; visual review identified factory production or supplier-warehouse content.,YES,supplier-warehouse-visit
Project 05 - Marketing Retail Projects/Bachelor Final Major Project/Creative Outcome cp.pdf,pdf,Marketing and retail projects / source document,archive,Copied as archive/source-documents/marketing-retail/bachelor-fmp-creative-outcome.pdf. Large source PDF; select a few web-ready spreads later.,YES,
Project 05 - Marketing Retail Projects/Bachelor Final Major Project/Illustrated Report cp.pdf,pdf,Marketing and retail projects / source document,archive,Copied as archive/source-documents/marketing-retail/bachelor-fmp-illustrated-report.pdf. Large source PDF; select a few web-ready spreads later.,YES,
Project 05 - Marketing Retail Projects/ICICLE Business Proposal.pdf,pdf,Marketing and retail projects / source document,archive,Copied as archive/source-documents/marketing-retail/icicle-business-proposal.pdf. Large source PDF; select a few web-ready spreads later.,YES,
