original_file_name,current_location,selected_for_website,project_or_section,asset_type,final_filename,final_website_location,suggested_caption,suggested_alt_text,usage_notes
Project 02_Photography : Visual Storytelling/2. Material Conversations_Exhibition/DO01020926.JPG,assets/projects/photography/material-conversations/do01020926.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-material-conversations-02.jpg,assets/projects/photography/photography-gallery-material-conversations-02.jpg,"Material Conversations exhibition, image 2.","Exhibition photograph from Material Conversations, image 2.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/2. Material Conversations_Exhibition/DO01020934.JPG,assets/projects/photography/material-conversations/do01020934.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-material-conversations-03.jpg,assets/projects/photography/photography-gallery-material-conversations-03.jpg,"Material Conversations exhibition, image 3.","Exhibition photograph from Material Conversations, image 3.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/3.Press Event/The Living Table_1.JPG,assets/projects/photography/press-event/the-living-table-1.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-living-table-01.jpg,assets/projects/photography/photography-gallery-living-table-01.jpg,"The Living Table press event, image 1.","Event photograph from The Living Table, image 1.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/3.Press Event/The Living table_2.JPG,assets/projects/photography/press-event/the-living-table-2.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-living-table-02.jpg,assets/projects/photography/photography-gallery-living-table-02.jpg,"The Living Table press event, image 2.","Event photograph from The Living Table, image 2.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/3.Press Event/The Living Table_3.JPG,assets/projects/photography/press-event/the-living-table-3.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-living-table-03.jpg,assets/projects/photography/photography-gallery-living-table-03.jpg,"The Living Table press event, image 3.","Event photograph from The Living Table, image 3.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_1.jpg,assets/projects/photography/film-just-kids/just-kids-1.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-kids-01.jpg,assets/projects/photography/photography-gallery-just-kids-01.jpg,"Just Kids film photography series, image 1.","Film photograph from the Just Kids series, image 1.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_2.JPG,assets/projects/photography/film-just-kids/just-kids-2.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-kids-02.jpg,assets/projects/photography/photography-gallery-just-kids-02.jpg,"Just Kids film photography series, image 2.","Film photograph from the Just Kids series, image 2.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_3.jpeg,assets/projects/photography/film-just-kids/just-kids-3.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-kids-03.jpg,assets/projects/photography/photography-gallery-just-kids-03.jpg,"Just Kids film photography series, image 3.","Film photograph from the Just Kids series, image 3.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_4.JPG,assets/projects/photography/film-just-kids/just-kids-4.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-kids-04.jpg,assets/projects/photography/photography-gallery-just-kids-04.jpg,"Just Kids film photography series, image 4.","Film photograph from the Just Kids series, image 4.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_5.JPG,assets/projects/photography/film-just-kids/just-kids-5.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-kids-05.jpg,assets/projects/photography/photography-gallery-just-kids-05.jpg,"Just Kids film photography series, image 5.","Film photograph from the Just Kids series, image 5.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_6.jpeg,assets/projects/photography/film-just-kids/just-kids-6.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-kids-06.jpg,assets/projects/photography/photography-gallery-just-kids-06.jpg,"Just Kids film photography series, image 6.","Film photograph from the Just Kids series, image 6.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Just Kids/Just Kids_7.jpg,assets/projects/photography/film-just-kids/just-kids-7.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-kids-07.jpg,assets/projects/photography/photography-gallery-just-kids-07.jpg,"Just Kids film photography series, image 7.","Film photograph from the Just Kids series, image 7.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Christmas Season in Soho View from a Black Cab.jpg,assets/projects/photography/film-london-feelings/christmas-season-in-soho-view-from-a-black-cab.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-soho-black-cab-01.jpg,assets/projects/photography/photography-gallery-soho-black-cab-01.jpg,"Christmas season in Soho, seen from a black cab.","Film photograph titled Christmas season in Soho, seen from a black cab.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Lunch Together.JPG,assets/projects/photography/film-london-feelings/lunch-together.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-lunch-together-01.jpg,assets/projects/photography/photography-gallery-lunch-together-01.jpg,Lunch Together.,Film photograph titled Lunch Together.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Milkway.jpeg,assets/projects/photography/film-london-feelings/milkway.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-milkway-01.jpg,assets/projects/photography/photography-gallery-milkway-01.jpg,Milkway.,Film photograph titled Milkway.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/London Feelings/Ronnie Scott and bunch of Ronnies and Scotts.jpeg,assets/projects/photography/film-london-feelings/ronnie-scott-and-bunch-of-ronnies-and-scotts.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-ronnie-scott-01.jpg,assets/projects/photography/photography-gallery-ronnie-scott-01.jpg,Ronnie Scott and a crowd of Ronnies and Scotts.,Film photograph titled Ronnie Scott and a crowd of Ronnies and Scotts.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Artist in Studio.JPG,assets/projects/photography/film-women-from-everywhere/artist-in-studio.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-artist-in-studio-01.jpg,assets/projects/photography/photography-gallery-artist-in-studio-01.jpg,Artist in Studio.,Film photograph titled Artist in Studio.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Flour and Fire.JPG,assets/projects/photography/film-women-from-everywhere/flour-and-fire.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-flour-and-fire-01.jpg,assets/projects/photography/photography-gallery-flour-and-fire-01.jpg,Flour and Fire.,Film photograph titled Flour and Fire.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Just After the Nap.JPG,assets/projects/photography/film-women-from-everywhere/just-after-the-nap.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-just-after-the-nap-01.jpg,assets/projects/photography/photography-gallery-just-after-the-nap-01.jpg,Just After the Nap.,Film photograph titled Just After the Nap.,Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/La Lune.jpg,assets/projects/photography/film-women-from-everywhere/la-lune.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-la-lune-01.jpg,assets/projects/photography/photography-gallery-la-lune-01.jpg,La Lune.,Film photograph titled La Lune.,Selected for the first website build; create responsive derivatives during implementation.
"Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Last Table, Trattoria Camille.JPG",assets/projects/photography/film-women-from-everywhere/last-table-trattoria-camille.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-last-table-trattoria-camille-01.jpg,assets/projects/photography/photography-gallery-last-table-trattoria-camille-01.jpg,"Last Table, Trattoria Camille.","Film photograph titled Last Table, Trattoria Camille.",Selected for the first website build; create responsive derivatives during implementation.
"Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/On the Line, Paris.JPG",assets/projects/photography/film-women-from-everywhere/on-the-line-paris.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-on-the-line-paris-01.jpg,assets/projects/photography/photography-gallery-on-the-line-paris-01.jpg,"On the Line, Paris.","Film photograph titled On the Line, Paris.",Selected for the first website build; create responsive derivatives during implementation.
"Project 02_Photography : Visual Storytelling/4. Floating in the Almond Film Photography/Women From Everywhere/Reporting from the Line, Protest Weekend in April,  Paris.JPG",assets/projects/photography/film-women-from-everywhere/reporting-from-the-line-protest-weekend-in-april-paris.jpg,yes,Photography & Visual Storytelling,gallery image,photography-gallery-reporting-from-the-line-01.jpg,assets/projects/photography/photography-gallery-reporting-from-the-line-01.jpg,"Reporting from the Line, Paris.","Film photograph titled Reporting from the Line, Paris.",Selected for the first website build; create responsive derivatives during implementation.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /1_Still Life/01.jpg,assets/projects/photography/fashion-styling-gallery-still-life-01.jpg,yes,Photography & Visual Storytelling,gallery image,fashion-styling-gallery-still-life-01.jpg,assets/projects/photography/fashion-styling-gallery-still-life-01.jpg,Quiet editorial portrait at a table.,Model in a red satin top leaning across a white table in a quiet editorial portrait.,Reclassified from Fashion Styling into the final Photography / Visual Storytelling sequence; manually renamed filename preserved.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /1_Still Life/02.jpg,assets/projects/photography/fashion-styling-gallery-still-life-02.jpg,yes,Photography & Visual Storytelling,gallery image,fashion-styling-gallery-still-life-02.jpg,assets/projects/photography/fashion-styling-gallery-still-life-02.jpg,Two-part jewellery and portrait study.,Two-frame editorial portrait highlighting a model's blue statement earring and red satin top.,Reclassified from Fashion Styling into the final Photography / Visual Storytelling sequence; manually renamed filename preserved.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /1_Still Life/03.jpg,assets/projects/photography/fashion-papaya-still-life/03.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA fashion still-life study, image 3.","Styled still-life photograph from the PAPAYA project, image 3.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_1.jpg,assets/projects/photography/fashion-papaya-collage/revolution-collage-1.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution collage, image 1.","Fashion collage from the PAPAYA Revolution series, image 1.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_2.jpg,assets/projects/photography/fashion-papaya-collage/revolution-collage-2.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution collage, image 2.","Fashion collage from the PAPAYA Revolution series, image 2.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_3.jpg,assets/projects/photography/fashion-papaya-collage/revolution-collage-3.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution collage, image 3.","Fashion collage from the PAPAYA Revolution series, image 3.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_4.jpg,assets/projects/photography/fashion-papaya-collage/revolution-collage-4.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution collage, image 4.","Fashion collage from the PAPAYA Revolution series, image 4.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_5.jpg,assets/projects/photography/fashion-papaya-collage/revolution-collage-5.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution collage, image 5.","Fashion collage from the PAPAYA Revolution series, image 5.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /2_Revolution Collage/Revolution Collage_6.jpg,assets/projects/photography/fashion-papaya-collage/revolution-collage-6.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution collage, image 6.","Fashion collage from the PAPAYA Revolution series, image 6.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/3_Revolution_3_Collage/GROUP 50679.jpg,assets/projects/photography/fashion-papaya-editorial/group-50679.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution editorial, image 1.","Styled fashion image from the PAPAYA Revolution editorial, image 1.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/3_Revolution_3_Collage/GROUP 50681.jpg,assets/projects/photography/fashion-papaya-editorial/group-50681.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution editorial, image 2.","Styled fashion image from the PAPAYA Revolution editorial, image 2.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/3_Revolution_3_Collage/GROUP 50688.jpg,assets/projects/photography/fashion-papaya-editorial/group-50688.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,"PAPAYA Revolution editorial, image 3.","Styled fashion image from the PAPAYA Revolution editorial, image 3.",Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/Revolution_1_Single.jpg,assets/projects/photography/fashion-styling-gallery-revolution-02.jpg,yes,Photography & Visual Storytelling,gallery image,fashion-styling-gallery-revolution-02.jpg,assets/projects/photography/fashion-styling-gallery-revolution-02.jpg,Red-light movement study.,Long-exposure fashion portrait of a model in a satin dress moving through red light.,Reclassified from Fashion Styling into the final Photography / Visual Storytelling sequence; manually renamed filename preserved.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /3_Revolution/Revolution_2_Single.jpg,assets/projects/photography/fashion-papaya-editorial/revolution-2-single.jpg,no,Fashion Styling / Visual Direction (archive),archive reference,,,PAPAYA Revolution portrait study.,Styled portrait from the PAPAYA Revolution fashion project.,Not part of the current curated website set. The source file remains untouched at current_location.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /Film Behind the Scenes/Film Portrait_bts_01.JPG,assets/projects/photography/fashion-styling-gallery-behind-scenes-01.jpg,yes,Photography & Visual Storytelling,gallery image,fashion-styling-gallery-behind-scenes-01.jpg,assets/projects/photography/fashion-styling-gallery-behind-scenes-01.jpg,Editorial portrait study against a dark background.,Editorial portrait of a model in black clothing against a dark background.,Reclassified from Fashion Styling into the final Photography / Visual Storytelling sequence; manually renamed filename preserved.
Project 02_Photography : Visual Storytelling/5. Fashion Styling/PAPAYA /Film Behind the Scenes/Film Portrait_bts_02.JPG,assets/projects/photography/fashion-styling-gallery-behind-scenes-02.jpg,yes,Photography & Visual Storytelling,gallery image,fashion-styling-gallery-behind-scenes-02.jpg,assets/projects/photography/fashion-styling-gallery-behind-scenes-02.jpg,Red-satin editorial portrait study.,Profile portrait of a model in a red satin garment against a dark background.,Reclassified from Fashion Styling into the final Photography / Visual Storytelling sequence; manually renamed filename preserved.
Project 02_Photography : Visual Storytelling/Home Page Background /Background_01.jpeg,assets/homepage/background-01.jpeg,yes,Homepage,background image,homepage-background-quiet-desktop-01.jpeg,assets/homepage/homepage-background-quiet-desktop-01.jpeg,Playful public-art scene beneath spring blossom.,,Chosen homepage desktop-style background. Decorative in the interface; use an empty alt attribute and preserve a quiet crop behind desktop elements.
Project 02_Photography : Visual Storytelling/Home Page Background /Background_02.jpg,,no,Photography / homepage candidates,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Project 02_Photography : Visual Storytelling/Home Page Background /Background_03.JPG,,no,Photography / homepage candidates,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Project 02_Photography : Visual Storytelling/Home Page Background /Background_04.JPG,,no,Photography / homepage candidates,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Project 02_Photography : Visual Storytelling/Home Page Background /Background_05.jpg,,no,Photography / homepage candidates,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Project 03 AI Customer Experience Research Research/Master Dissertation PDF/Empirical Dissertation.pdf,archive/source-documents/research/ai-customer-experience-dissertation.pdf,yes,AI Customer Experience Research,source document,ai-cx-dissertation-01.pdf,assets/archive/source-documents/ai-cx-dissertation-01.pdf,MA dissertation on AI-assisted customer experience for UK Gen Z consumers with ADHD.,Not applicable - archived PDF source document.,Archive only. Do not serve as a main visual or export all 360 pages.
"Project 03 AI Customer Experience Research Research/Research Process/Ajzen’s Theory of Planned Behaviour (1991), 2025, Author’s Own.png",assets/projects/research/process/ajzens-theory-of-planned-behaviour-1991-2025-authors-own.png,yes,AI Customer Experience Research,research diagram,ai-cx-diagram-planned-behaviour-01.png,assets/projects/ai-cx-research/ai-cx-diagram-planned-behaviour-01.png,Theory of Planned Behaviour framework used in the research.,"Diagram showing Ajzen's Theory of Planned Behaviour and the relationships between attitudes, norms, control, intentions and behaviour.",Selected for the first website build; create responsive derivatives during implementation.
"Project 03 AI Customer Experience Research Research/Research Process/Developed Thematic Map with Three Main Themes and Relevant Codes, 2025, Author's Own.png",assets/projects/research/process/developed-thematic-map-with-three-main-themes-and-relevant-codes-2025-authors-own.png,yes,AI Customer Experience Research,research diagram,ai-cx-diagram-thematic-map-01.png,assets/projects/ai-cx-research/ai-cx-diagram-thematic-map-01.png,Thematic map connecting the study's three main research themes.,Thematic map showing three main themes and their related qualitative research codes.,Supporting thematic-map image in the AI research gallery; no longer used as a project cover.
Project 03 AI Customer Experience Research Research/Research Process/MAP Academic Poster.pdf,assets/projects/research/ai-cx-academic-poster.pdf,yes,AI Customer Experience Research,research document,ai-cx-research-poster-01.pdf,assets/documents/research/ai-cx-research-poster-01.pdf,Academic poster summarising the AI and customer-experience research.,Not applicable - one-page research poster PDF.,Keep as a document. A single raster preview may be generated later; do not export additional pages.
"Project 03 AI Customer Experience Research Research/Research Process/Table, AI interventions mapped to the ADHD Gen Z Behavioural Gap.png",assets/projects/research/process/table-ai-interventions-mapped-to-the-adhd-gen-z-behavioural-gap.png,yes,AI Customer Experience Research,research diagram,ai-cx-diagram-interventions-gap-01.png,assets/projects/ai-cx-research/ai-cx-diagram-interventions-gap-01.png,AI interventions mapped to the ADHD Gen Z behavioural gap.,Table mapping AI interventions to cognitive and behavioural barriers experienced by Gen Z consumers with ADHD.,Selected for the first website build; create responsive derivatives during implementation.
"Project 03 AI Customer Experience Research Research/Research Process/Table, Interview Instrument Design.png",assets/projects/research/process/table-interview-instrument-design.png,yes,AI Customer Experience Research,research diagram,ai-cx-diagram-interview-design-01.png,assets/projects/ai-cx-research/ai-cx-diagram-interview-design-01.png,Interview instrument design for the qualitative study.,Table showing the structure and objectives of the qualitative interview instrument.,Selected for the first website build; create responsive derivatives during implementation.
"Project 03 AI Customer Experience Research Research/Research Process/Technology Acceptance Model by Davis (1989), 2025, Author’s Own.png",assets/projects/research/process/technology-acceptance-model-by-davis-1989-2025-authors-own.png,yes,AI Customer Experience Research,research diagram,ai-cx-diagram-technology-acceptance-01.png,assets/projects/ai-cx-research/ai-cx-diagram-technology-acceptance-01.png,Technology Acceptance Model used as a theoretical lens.,"Diagram showing the Technology Acceptance Model and links between usefulness, ease of use, attitude, intention and system use.",Selected for the first website build; create responsive derivatives during implementation.
About Audris/About Audris.JPG,assets/about/about-portrait-film.jpg,no,About / personal profile,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
About Audris/Carousel Image 8_About Audris.JPG,assets/about/about-portrait-editorial.jpg,yes,About,profile portrait,about-portrait-editorial.jpg,assets/about/about-portrait-editorial.jpg,Audris Li.,Portrait of Audris Li against a deep blue background.,Fixed About-page portrait selected by the site owner.
CV/Website Professional Resume.pdf,assets/documents/audris-li-cv.pdf,yes,CV,download document,audris-li-cv.pdf,assets/documents/cv/audris-li-cv.pdf,Audris Li - curriculum vitae.,Not applicable - downloadable CV PDF.,Use as the Download CV file; do not render it as an image.
Homepage Carousel/Carousel Image 1 Sustainable Lifestyle Branding.png,,no,Homepage / project index,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Homepage Carousel/Carousel Image 2 Consumer Research & Customer Experience .pdf,,no,Homepage / project index,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Homepage Carousel/Carousel Image 4 Visual Storytelling.jpg,,no,Homepage / project index,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Homepage Carousel/Carousel Image 5 Cross-Border E-Commerce Supplier Factory Visits.jpg,,no,Homepage / project index,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Homepage Carousel/Carousel Image 6 Project 05 - Marketing Retail Projects.JPG,assets/projects/previews/main/marketing-retail-cover.jpg,no,Marketing and retail projects,project cover,,,,,Not selected; existing files and manifest entries were left untouched.
Homepage Carousel/Carousel Image 8_About Audris.JPG,,no,Homepage / project index,homepage image,,,,,Not selected; existing files and manifest entries were left untouched.
Project 01_ Sustainable Incense Brand/ Packaging Photo.png,assets/projects/cyta/product/packaging-photo.png,yes,Cyta / Sustainable Incense Brand,project cover,cyta-cover-packaging-01.png,assets/projects/previews/main/cyta-cover-packaging-01.png,Cyta packaging and incense product presentation.,Cyta incense packaging arranged as a product still life.,Selected for the first website build; create responsive derivatives during implementation.
Project 01_ Sustainable Incense Brand/Branding & Logo/CYTA 鳶 Logo lace transparent.png,assets/projects/cyta/identity/cyta-logo-lace-transparent.png,yes,Cyta / Sustainable Incense Brand,gallery image,cyta-gallery-lace-logo-01.png,assets/projects/cyta/cyta-gallery-lace-logo-01.png,Cyta's lace-inspired identity mark.,Transparent Cyta brand mark featuring a lace-inspired visual treatment.,Selected for the first website build; create responsive derivatives during implementation.
Project 01_ Sustainable Incense Brand/Branding & Logo/Soft Landing Cloud Quilt.png,assets/projects/cyta/identity/soft-landing-cloud-quilt.png,no,Cyta sustainable incense brand / identity,gallery image,,,,,Not selected; existing files and manifest entries were left untouched.
